season,week,pair_id,v_mean,v_q05,v_q50,v_q95,v_ci_width,S_it,pJ_it
32,1,1,0.03872226233416011,0.007373342265960469,0.03375510825149858,0.08356111238873953,0.08886162716240813,6.0,0.0972972972972973
32,1,2,0.09877576914832911,0.025896726262251403,0.09664193178453853,0.17916067621520043,0.1859770542640237,4.333333333333333,0.07027027027027027
32,1,3,0.09203171945331216,0.015527952008474484,0.08447979259356861,0.19762244487385736,0.21437880231025702,7.0,0.11351351351351352
32,1,4,0.0839466411899217,0.023906980939686913,0.08249691261470823,0.14930593490833383,0.15168310327737272,5.333333333333333,0.08648648648648649
32,1,5,0.05380656204590585,0.009949122391303898,0.04612482995599364,0.12083906523209542,0.13628547604138072,7.333333333333333,0.11891891891891893
32,1,6,0.029615175031885658,0.00659872553613616,0.02735748157263389,0.06209467197182288,0.06445575497836431,5.0,0.08108108108108109
32,1,7,0.1733719464292794,0.049307684539874795,0.1634742940079443,0.3251250530416814,0.3509365135819509,7.0,0.11351351351351352
32,1,8,0.03215301685704962,0.007607588805450301,0.029577629764094795,0.06462794812329252,0.06597100017998633,4.0,0.06486486486486487
32,1,9,0.051993683756519915,0.010959465341225211,0.04801280874069944,0.10960075991670351,0.1131812202921449,5.666666666666667,0.0918918918918919
32,1,10,0.047618007094983594,0.01008269569753822,0.04523756499458645,0.09472999446893177,0.09802695745771417,4.0,0.06486486486486487
32,1,11,0.2979652166586529,0.12501602829924627,0.2732449689780194,0.5528294674697002,0.5028180395916898,6.0,0.0972972972972973
32,2,1,0.03955249669869314,0.007535161764222916,0.034956373775786226,0.08524228842976445,0.08970669699714426,5.0,0.07894736842105263
32,2,2,0.10183814667112398,0.026494691300010784,0.0999528313956408,0.1836952889530814,0.18909726074110028,6.333333333333333,0.09999999999999999
32,2,3,0.09492446861530762,0.015946717507423006,0.08765632268626157,0.2019765729406888,0.2144046510590911,6.666666666666667,0.10526315789473684
32,2,4,0.08646753031744177,0.02455495160803802,0.08452219414298404,0.15507805415145035,0.1575876291747324,5.0,0.07894736842105263
