season,week,pair_id,v_mean,v_q05,v_q50,v_q95,v_ci_width,S_it,pJ_it
27,1,1,0.1194124604624497,0.0467955596171345,0.1143075765839956,0.2103888179158252,0.2000431263355156,7.333333333333333,0.1023255813953488
27,2,1,0.1218859660788847,0.0479600815397621,0.1176062118724935,0.2118245244772726,0.2042926070001149,8.166666666666666,0.1111111111111111
27,3,1,0.1249628500701022,0.0506719508522514,0.1219738434826368,0.2165330120259368,0.2008404230657871,8.666666666666666,0.1214953271028037
27,4,1,0.1294270771174709,0.0493435776352778,0.1265629686514447,0.2184526133857467,0.2044867431892448,8.333333333333334,0.1358695652173913
27,5,1,0.1333780834451384,0.0501940999427574,0.1319150051272928,0.2233409106610814,0.2065821143528178,9.666666666666666,0.1715976331360947
27,6,1,0.1331581038422605,0.0504772239403651,0.1313963808035471,0.2167225950973734,0.2012905796965736,9.0,0.1588235294117647
27,7,1,0.139577559667957,0.0521682525836978,0.1400516772437952,0.2223877105137059,0.2063207738375251,9.166666666666666,0.1718749999999999
27,8,1,0.1670836964526982,0.0606020974703583,0.1707864825616806,0.2651321659190913,0.2381986244643061,9.666666666666666,0.284313725490196
27,9,1,0.2005518530725264,0.0696773082489891,0.2044595772807845,0.3155333955896974,0.2852867887451877,9.5,0.3333333333333333
27,1,2,0.2873539327381583,0.1335765689563358,0.2702134034073192,0.5158997008904683,0.4530207948043494,6.666666666666667,0.0930232558139534
27,2,2,0.2961710198257691,0.1395880574564444,0.2796043461489945,0.5244031703882174,0.4602334327610865,6.5,0.0884353741496598
27,3,2,0.3083255069802157,0.1472404434681236,0.2909781866194572,0.5415196079827714,0.4708454167052091,7.666666666666667,0.1074766355140187
27,4,2,0.3210415718328449,0.1554768447581256,0.3030159851492907,0.5589645550274323,0.477807622678341,6.666666666666667,0.108695652173913
27,5,2,0.3331228231321163,0.1682188612466242,0.3126783644750461,0.5785926399997822,0.4827503680634764,7.0,0.1242603550295858
27,6,2,0.3359646902770052,0.1730562616970529,0.3137939605785881,0.5771702795894512,0.4853935701413078,7.333333333333333,0.1294117647058823
27,7,2,0.3551624418230354,0.1866876044475187,0.3336240227236742,0.6006914731011448,0.502184704448849,8.833333333333334,0.165625
27,8,2,0.4261612190981345,0.2472537117832159,0.4042528908429706,0.6813594182994854,0.5304127198374813,7.5,0.2205882352941176
27,9,2,0.5159467798102004,0.3213954411280345,0.4948312807582962,0.7817270382736673,0.5710243294322991,9.0,0.3157894736842105
27,1,8,0.162924322539495,0.06212623406549,0.1517734551849659,0.2990740553936185,0.2975887811102187,6.666666666666667,0.0930232558139534
27,2,8,0.1667880182770149,0.0649069752675139,0.1561946916587692,0.3034825019496863,0.3032296093627478,8.666666666666666,0.1179138321995464
27,3,8,0.1726747190006251,0.0658121708704718,0.1612431723134964,0.3157139030894196,0.3244400255580734,9.0,0.1261682242990654
27,4,8,0.1791148922111327,0.0689416773832364,0.1687486633552791,0.3192310131690876,0.3203594184575039,9.666666666666666,0.1576086956521739
27,5,8,0.1849142444962745,0.0699878868709865,0.1747669477854861,0.3281552067289869,0.3249992138567291,9.0,0.1597633136094674
27,6,8,0.1856905309465856,0.0719718691403556,0.1767162552871424,0.3277057130459237,0.3269824015869315,10.0,0.1764705882352941
27,7,8,0.1954946820345288,0.0745201885267442,0.1857587692577243,0.3451942195288004,0.3493491769665798,9.666666666666666,0.18125
27,8,8,0.2339449887963146,0.086950961901354,0.2309337994389304,0.3961764264069901,0.4039057840853358,9.166666666666666,0.2696078431372549
27,9,8,0.2835013671171911,0.0992624190364996,0.2866253420839493,0.4688653488618912,0.4694153111257353,10.0,0.3508771929824561
