season,week,pair_id,celebrity_name,ballroom_partner,celebrity_age,celebrity_industry,celebrity_homestate,judge_score_1,judge_score_2,judge_score_3,judge_score_4,S_it,n_judges,placement,is_active,elim_week_by_score,is_withdraw,withdraw_week,is_cumulative_week,regime_mode,save_flag,is_finalist
1,1,1,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,Maine,7.0,7.0,6.0,,6.666666666666667,3,2,True,6,False,,False,Rank,0,True
1,2,1,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,Maine,8.0,9.0,9.0,,8.666666666666666,3,2,True,6,False,,False,Rank,0,True
1,3,1,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,Maine,9.0,8.0,7.0,,8.0,3,2,True,6,False,,False,Rank,0,True
1,4,1,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,Maine,7.0,8.0,6.0,,7.0,3,2,True,6,False,,False,Rank,0,True
1,5,1,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,Maine,9.0,9.0,9.0,,9.0,3,2,True,6,False,,False,Rank,0,True
1,6,1,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,Maine,9.0,9.0,9.0,,9.0,3,2,True,6,False,,False,Rank,0,True
1,1,2,Kelly Monaco,Alec Mazo,29,Actor/Actress,Pennsylvania,5.0,4.0,4.0,,4.333333333333333,3,1,True,6,False,,False,Rank,0,True
1,2,2,Kelly Monaco,Alec Mazo,29,Actor/Actress,Pennsylvania,5.0,6.0,6.0,,5.666666666666667,3,1,True,6,False,,False,Rank,0,True
1,3,2,Kelly Monaco,Alec Mazo,29,Actor/Actress,Pennsylvania,6.0,7.0,8.0,,7.0,3,1,True,6,False,,False,Rank,0,True
1,4,2,Kelly Monaco,Alec Mazo,29,Actor/Actress,Pennsylvania,9.0,9.0,8.0,,8.666666666666666,3,1,True,6,False,,False,Rank,0,True
1,5,2,Kelly Monaco,Alec Mazo,29,Actor/Actress,Pennsylvania,8.5,7.5,7.5,,7.833333333333333,3,1,True,6,False,,False,Rank,0,True
1,6,2,Kelly Monaco,Alec Mazo,29,Actor/Actress,Pennsylvania,8.5,9.5,9.5,,9.166666666666666,3,1,True,6,False,,False,Rank,0,True
1,1,3,Evander Holyfield,Edyta Sliwinska,42,Athlete,Alabama,5.0,7.0,6.0,,6.0,3,5,True,3,False,,False,Rank,0,False
1,2,3,Evander Holyfield,Edyta Sliwinska,42,Athlete,Alabama,5.0,4.0,5.0,,4.666666666666667,3,5,True,3,False,,False,Rank,0,False
1,3,3,Evander Holyfield,Edyta Sliwinska,42,Athlete,Alabama,5.0,4.0,4.0,,4.333333333333333,3,5,True,3,False,,False,Rank,0,False
1,1,4,Rachel Hunter,Jonathan Roberts,35,Model,,7.0,6.0,7.0,,6.666666666666667,3,4,True,4,False,,False,Rank,0,False
