season,week,rule_A,rule_B,p_elim_diff
28,1,percent,percent_save,0.0
28,2,percent,percent_save,0.59
28,3,percent,percent_save,0.0
28,4,percent,percent_save,0.74
28,5,percent,percent_save,0.0
28,6,percent,percent_save,0.4
28,7,percent,percent_save,0.64
28,8,percent,percent_save,0.5
28,9,percent,percent_save,0.61
28,10,percent,percent_save,0.16
28,1,percent,rank,0.0
28,2,percent,rank,0.75
28,3,percent,rank,0.0
28,4,percent,rank,0.84
28,5,percent,rank,0.0
28,6,percent,rank,0.33
28,7,percent,rank,0.69
28,8,percent,rank,0.65
28,9,percent,rank,0.57
28,10,percent,rank,0.11
28,1,percent,rank_save,0.0
28,2,percent,rank_save,0.54
28,3,percent,rank_save,0.0
28,4,percent,rank_save,0.71
28,5,percent,rank_save,0.0
28,6,percent,rank_save,0.42
28,7,percent,rank_save,0.62
28,8,percent,rank_save,0.53
28,9,percent,rank_save,0.68
28,10,percent,rank_save,0.44
28,1,percent_save,rank,0.0
28,2,percent_save,rank,0.66
28,3,percent_save,rank,0.0
28,4,percent_save,rank,0.75
28,5,percent_save,rank,0.0
28,6,percent_save,rank,0.41
28,7,percent_save,rank,0.66
28,8,percent_save,rank,0.61
28,9,percent_save,rank,0.65
28,10,percent_save,rank,0.16
28,1,percent_save,rank_save,0.0
28,2,percent_save,rank_save,0.67
28,3,percent_save,rank_save,0.0
28,4,percent_save,rank_save,0.75
28,5,percent_save,rank_save,0.0
28,6,percent_save,rank_save,0.56
28,7,percent_save,rank_save,0.63
28,8,percent_save,rank_save,0.51
28,9,percent_save,rank_save,0.74
28,10,percent_save,rank_save,0.5
28,1,rank,rank_save,0.0
28,2,rank,rank_save,0.68
28,3,rank,rank_save,0.0
28,4,rank,rank_save,0.74
28,5,rank,rank_save,0.0
28,6,rank,rank_save,0.45
28,7,rank,rank_save,0.65
28,8,rank,rank_save,0.57
28,9,rank,rank_save,0.71
28,10,rank,rank_save,0.46
