season,week,rule_A,rule_B,p_elim_diff
16,1,percent,percent_save,0.0
16,2,percent,percent_save,0.3
16,3,percent,percent_save,0.46
16,4,percent,percent_save,0.0
16,5,percent,percent_save,0.71
16,6,percent,percent_save,0.65
16,7,percent,percent_save,0.45
16,8,percent,percent_save,0.48
16,9,percent,percent_save,0.0
16,1,percent,rank,0.0
16,2,percent,rank,0.41
16,3,percent,rank,0.56
16,4,percent,rank,0.0
16,5,percent,rank,0.78
16,6,percent,rank,0.66
16,7,percent,rank,0.71
16,8,percent,rank,0.65
16,9,percent,rank,0.0
16,1,percent,rank_save,0.0
16,2,percent,rank_save,0.31
16,3,percent,rank_save,0.47
16,4,percent,rank_save,0.0
16,5,percent,rank_save,0.62
16,6,percent,rank_save,0.62
16,7,percent,rank_save,0.57
16,8,percent,rank_save,0.49
16,9,percent,rank_save,0.0
16,1,percent_save,rank,0.0
16,2,percent_save,rank,0.29
16,3,percent_save,rank,0.5
16,4,percent_save,rank,0.0
16,5,percent_save,rank,0.77
16,6,percent_save,rank,0.61
16,7,percent_save,rank,0.71
16,8,percent_save,rank,0.63
16,9,percent_save,rank,0.0
16,1,percent_save,rank_save,0.0
16,2,percent_save,rank_save,0.15
16,3,percent_save,rank_save,0.27
16,4,percent_save,rank_save,0.0
16,5,percent_save,rank_save,0.46
16,6,percent_save,rank_save,0.37
16,7,percent_save,rank_save,0.35
16,8,percent_save,rank_save,0.21
16,9,percent_save,rank_save,0.0
16,1,rank,rank_save,0.0
16,2,rank,rank_save,0.33
16,3,rank,rank_save,0.53
16,4,rank,rank_save,0.0
16,5,rank,rank_save,0.74
16,6,rank,rank_save,0.66
16,7,rank,rank_save,0.68
16,8,rank,rank_save,0.65
16,9,rank,rank_save,0.0
