season,week,rule_A,rule_B,p_elim_diff
10,1,percent,percent_save,0.0
10,2,percent,percent_save,0.48
10,3,percent,percent_save,0.23
10,4,percent,percent_save,0.0
10,5,percent,percent_save,0.52
10,6,percent,percent_save,0.46
10,7,percent,percent_save,0.0
10,8,percent,percent_save,0.55
10,9,percent,percent_save,0.54
10,1,percent,rank,0.0
10,2,percent,rank,0.7
10,3,percent,rank,0.26
10,4,percent,rank,0.0
10,5,percent,rank,0.71
10,6,percent,rank,0.58
10,7,percent,rank,0.0
10,8,percent,rank,0.67
10,9,percent,rank,0.71
10,1,percent,rank_save,0.0
10,2,percent,rank_save,0.58
10,3,percent,rank_save,0.23
10,4,percent,rank_save,0.0
10,5,percent,rank_save,0.57
10,6,percent,rank_save,0.43
10,7,percent,rank_save,0.0
10,8,percent,rank_save,0.56
10,9,percent,rank_save,0.55
10,1,percent_save,rank,0.0
10,2,percent_save,rank,0.6
10,3,percent_save,rank,0.12
10,4,percent_save,rank,0.0
10,5,percent_save,rank,0.67
10,6,percent_save,rank,0.47
10,7,percent_save,rank,0.0
10,8,percent_save,rank,0.6
10,9,percent_save,rank,0.67
10,1,percent_save,rank_save,0.0
10,2,percent_save,rank_save,0.42
10,3,percent_save,rank_save,0.05
10,4,percent_save,rank_save,0.0
10,5,percent_save,rank_save,0.52
10,6,percent_save,rank_save,0.27
10,7,percent_save,rank_save,0.0
10,8,percent_save,rank_save,0.33
10,9,percent_save,rank_save,0.26
10,1,rank,rank_save,0.0
10,2,rank,rank_save,0.59
10,3,rank,rank_save,0.11
10,4,rank,rank_save,0.0
10,5,rank,rank_save,0.61
10,6,rank,rank_save,0.45
10,7,rank,rank_save,0.0
10,8,rank,rank_save,0.6
10,9,rank,rank_save,0.63
