season,week,rule_A,rule_B,p_elim_diff
32,1,percent,percent_save,0.63
32,2,percent,percent_save,0.76
32,3,percent,percent_save,0.42
32,4,percent,percent_save,0.62
32,5,percent,percent_save,0.71
32,6,percent,percent_save,0.0
32,7,percent,percent_save,0.0
32,8,percent,percent_save,0.67
32,9,percent,percent_save,0.0
32,10,percent,percent_save,0.0
32,1,percent,rank,0.63
32,2,percent,rank,0.6
32,3,percent,rank,0.56
32,4,percent,rank,0.62
32,5,percent,rank,0.6
32,6,percent,rank,0.0
32,7,percent,rank,0.0
32,8,percent,rank,0.71
32,9,percent,rank,0.0
32,10,percent,rank,0.0
32,1,percent,rank_save,0.55
32,2,percent,rank_save,0.69
32,3,percent,rank_save,0.42
32,4,percent,rank_save,0.54
32,5,percent,rank_save,0.61
32,6,percent,rank_save,0.0
32,7,percent,rank_save,0.0
32,8,percent,rank_save,0.54
32,9,percent,rank_save,0.0
32,10,percent,rank_save,0.0
32,1,percent_save,rank,0.59
32,2,percent_save,rank,0.7
32,3,percent_save,rank,0.48
32,4,percent_save,rank,0.62
32,5,percent_save,rank,0.61
32,6,percent_save,rank,0.0
32,7,percent_save,rank,0.0
32,8,percent_save,rank,0.7
32,9,percent_save,rank,0.0
32,10,percent_save,rank,0.0
32,1,percent_save,rank_save,0.5
32,2,percent_save,rank_save,0.59
32,3,percent_save,rank_save,0.24
32,4,percent_save,rank_save,0.61
32,5,percent_save,rank_save,0.67
32,6,percent_save,rank_save,0.0
32,7,percent_save,rank_save,0.0
32,8,percent_save,rank_save,0.57
32,9,percent_save,rank_save,0.0
32,10,percent_save,rank_save,0.0
32,1,rank,rank_save,0.59
32,2,rank,rank_save,0.72
32,3,rank,rank_save,0.54
32,4,rank,rank_save,0.5
32,5,rank,rank_save,0.7
32,6,rank,rank_save,0.0
32,7,rank,rank_save,0.0
32,8,rank,rank_save,0.7
32,9,rank,rank_save,0.0
32,10,rank,rank_save,0.0
