season,week,rule_A,rule_B,p_elim_diff
4,1,percent,percent_save,0.0
4,2,percent,percent_save,0.0
4,3,percent,percent_save,0.71
4,4,percent,percent_save,0.67
4,5,percent,percent_save,0.58
4,6,percent,percent_save,0.0
4,7,percent,percent_save,0.57
4,8,percent,percent_save,0.55
4,9,percent,percent_save,0.52
4,1,percent,rank,0.0
4,2,percent,rank,0.0
4,3,percent,rank,0.69
4,4,percent,rank,0.55
4,5,percent,rank,0.57
4,6,percent,rank,0.0
4,7,percent,rank,0.7
4,8,percent,rank,0.69
4,9,percent,rank,0.65
4,1,percent,rank_save,0.0
4,2,percent,rank_save,0.0
4,3,percent,rank_save,0.78
4,4,percent,rank_save,0.58
4,5,percent,rank_save,0.5
4,6,percent,rank_save,0.0
4,7,percent,rank_save,0.77
4,8,percent,rank_save,0.62
4,9,percent,rank_save,0.52
4,1,percent_save,rank,0.0
4,2,percent_save,rank,0.0
4,3,percent_save,rank,0.76
4,4,percent_save,rank,0.46
4,5,percent_save,rank,0.36
4,6,percent_save,rank,0.0
4,7,percent_save,rank,0.78
4,8,percent_save,rank,0.65
4,9,percent_save,rank,0.48
4,1,percent_save,rank_save,0.0
4,2,percent_save,rank_save,0.0
4,3,percent_save,rank_save,0.63
4,4,percent_save,rank_save,0.38
4,5,percent_save,rank_save,0.24
4,6,percent_save,rank_save,0.0
4,7,percent_save,rank_save,0.55
4,8,percent_save,rank_save,0.51
4,9,percent_save,rank_save,0.22
4,1,rank,rank_save,0.0
4,2,rank,rank_save,0.0
4,3,rank,rank_save,0.66
4,4,rank,rank_save,0.19
4,5,rank,rank_save,0.17
4,6,rank,rank_save,0.0
4,7,rank,rank_save,0.74
4,8,rank,rank_save,0.71
4,9,rank,rank_save,0.49
