season,week,rule_A,rule_B,p_elim_diff
26,1,percent,percent_save,0.6
26,2,percent,percent_save,0.86
26,3,percent,percent_save,0.8
26,1,percent,rank,0.66
26,2,percent,rank,0.88
26,3,percent,rank,0.73
26,1,percent,rank_save,0.67
26,2,percent,rank_save,0.85
26,3,percent,rank_save,0.72
26,1,percent_save,rank,0.71
26,2,percent_save,rank,0.9
26,3,percent_save,rank,0.71
26,1,percent_save,rank_save,0.57
26,2,percent_save,rank_save,0.83
26,3,percent_save,rank_save,0.71
26,1,rank,rank_save,0.59
26,2,rank,rank_save,0.77
26,3,rank,rank_save,0.48
