season,week,rule_A,rule_B,p_elim_diff
18,1,percent,percent_save,0.56
18,2,percent,percent_save,0.58
18,3,percent,percent_save,0.0
18,4,percent,percent_save,0.0
18,5,percent,percent_save,0.0
18,6,percent,percent_save,0.62
18,7,percent,percent_save,0.66
18,8,percent,percent_save,0.76
18,9,percent,percent_save,0.73
18,1,percent,rank,0.57
18,2,percent,rank,0.72
18,3,percent,rank,0.0
18,4,percent,rank,0.0
18,5,percent,rank,0.0
18,6,percent,rank,0.67
18,7,percent,rank,0.72
18,8,percent,rank,0.58
18,9,percent,rank,0.68
18,1,percent,rank_save,0.52
18,2,percent,rank_save,0.53
18,3,percent,rank_save,0.0
18,4,percent,rank_save,0.0
18,5,percent,rank_save,0.0
18,6,percent,rank_save,0.5
18,7,percent,rank_save,0.65
18,8,percent,rank_save,0.95
18,9,percent,rank_save,0.73
18,1,percent_save,rank,0.69
18,2,percent_save,rank,0.71
18,3,percent_save,rank,0.0
18,4,percent_save,rank,0.0
18,5,percent_save,rank,0.0
18,6,percent_save,rank,0.58
18,7,percent_save,rank,0.61
18,8,percent_save,rank,0.65
18,9,percent_save,rank,0.7
18,1,percent_save,rank_save,0.25
18,2,percent_save,rank_save,0.26
18,3,percent_save,rank_save,0.0
18,4,percent_save,rank_save,0.0
18,5,percent_save,rank_save,0.0
18,6,percent_save,rank_save,0.23
18,7,percent_save,rank_save,0.36
18,8,percent_save,rank_save,0.79
18,9,percent_save,rank_save,0.48
18,1,rank,rank_save,0.66
18,2,rank,rank_save,0.69
18,3,rank,rank_save,0.0
18,4,rank,rank_save,0.0
18,5,rank,rank_save,0.0
18,6,rank,rank_save,0.51
18,7,rank,rank_save,0.56
18,8,rank,rank_save,0.89
18,9,rank,rank_save,0.71
