season,week,rule_A,rule_B,p_elim_diff
29,1,percent,percent_save,0.0
29,2,percent,percent_save,0.88
29,3,percent,percent_save,0.57
29,4,percent,percent_save,0.44
29,5,percent,percent_save,0.58
29,6,percent,percent_save,0.33
29,7,percent,percent_save,0.87
29,8,percent,percent_save,0.62
29,9,percent,percent_save,0.5
29,10,percent,percent_save,0.85
29,1,percent,rank,0.0
29,2,percent,rank,0.76
29,3,percent,rank,0.57
29,4,percent,rank,0.38
29,5,percent,rank,0.58
29,6,percent,rank,0.29
29,7,percent,rank,0.84
29,8,percent,rank,0.75
29,9,percent,rank,0.59
29,10,percent,rank,0.88
29,1,percent,rank_save,0.0
29,2,percent,rank_save,0.71
29,3,percent,rank_save,0.74
29,4,percent,rank_save,0.7
29,5,percent,rank_save,0.64
29,6,percent,rank_save,0.53
29,7,percent,rank_save,0.89
29,8,percent,rank_save,0.79
29,9,percent,rank_save,0.53
29,10,percent,rank_save,0.94
29,1,percent_save,rank,0.0
29,2,percent_save,rank,0.73
29,3,percent_save,rank,0.62
29,4,percent_save,rank,0.46
29,5,percent_save,rank,0.53
29,6,percent_save,rank,0.35
29,7,percent_save,rank,0.88
29,8,percent_save,rank,0.78
29,9,percent_save,rank,0.48
29,10,percent_save,rank,0.87
29,1,percent_save,rank_save,0.0
29,2,percent_save,rank_save,0.74
29,3,percent_save,rank_save,0.71
29,4,percent_save,rank_save,0.61
29,5,percent_save,rank_save,0.63
29,6,percent_save,rank_save,0.57
29,7,percent_save,rank_save,0.93
29,8,percent_save,rank_save,0.78
29,9,percent_save,rank_save,0.5
29,10,percent_save,rank_save,0.9
29,1,rank,rank_save,0.0
29,2,rank,rank_save,0.56
29,3,rank,rank_save,0.74
29,4,rank,rank_save,0.67
29,5,rank,rank_save,0.67
29,6,rank,rank_save,0.56
29,7,rank,rank_save,0.75
29,8,rank,rank_save,0.77
29,9,rank,rank_save,0.47
29,10,rank,rank_save,0.8
