season,week,rule_A,rule_B,p_elim_diff
31,1,percent,percent_save,0.57
31,2,percent,percent_save,0.8
31,3,percent,percent_save,0.69
31,4,percent,percent_save,0.62
31,5,percent,percent_save,0.89
31,6,percent,percent_save,0.0
31,7,percent,percent_save,0.65
31,8,percent,percent_save,0.89
31,9,percent,percent_save,0.82
31,1,percent,rank,0.6
31,2,percent,rank,0.74
31,3,percent,rank,0.66
31,4,percent,rank,0.53
31,5,percent,rank,0.94
31,6,percent,rank,0.0
31,7,percent,rank,0.8
31,8,percent,rank,0.89
31,9,percent,rank,0.91
31,1,percent,rank_save,0.5
31,2,percent,rank_save,0.74
31,3,percent,rank_save,0.6
31,4,percent,rank_save,0.66
31,5,percent,rank_save,0.93
31,6,percent,rank_save,0.0
31,7,percent,rank_save,0.74
31,8,percent,rank_save,0.87
31,9,percent,rank_save,0.84
31,1,percent_save,rank,0.48
31,2,percent_save,rank,0.73
31,3,percent_save,rank,0.66
31,4,percent_save,rank,0.58
31,5,percent_save,rank,0.94
31,6,percent_save,rank,0.0
31,7,percent_save,rank,0.83
31,8,percent_save,rank,0.94
31,9,percent_save,rank,0.88
31,1,percent_save,rank_save,0.34
31,2,percent_save,rank_save,0.74
31,3,percent_save,rank_save,0.64
31,4,percent_save,rank_save,0.71
31,5,percent_save,rank_save,0.96
31,6,percent_save,rank_save,0.0
31,7,percent_save,rank_save,0.76
31,8,percent_save,rank_save,0.92
31,9,percent_save,rank_save,0.86
31,1,rank,rank_save,0.45
31,2,rank,rank_save,0.78
31,3,rank,rank_save,0.63
31,4,rank,rank_save,0.7
31,5,rank,rank_save,0.93
31,6,rank,rank_save,0.0
31,7,rank,rank_save,0.51
31,8,rank,rank_save,0.87
31,9,rank,rank_save,0.83
