season,week,rule_A,rule_B,p_elim_diff
2,1,percent,percent_save,0.51
2,2,percent,percent_save,0.63
2,3,percent,percent_save,0.0
2,4,percent,percent_save,0.59
2,5,percent,percent_save,0.66
2,6,percent,percent_save,0.67
2,7,percent,percent_save,0.7
2,1,percent,rank,0.49
2,2,percent,rank,0.64
2,3,percent,rank,0.0
2,4,percent,rank,0.6
2,5,percent,rank,0.61
2,6,percent,rank,0.61
2,7,percent,rank,0.54
2,1,percent,rank_save,0.53
2,2,percent,rank_save,0.63
2,3,percent,rank_save,0.0
2,4,percent,rank_save,0.58
2,5,percent,rank_save,0.68
2,6,percent,rank_save,0.68
2,7,percent,rank_save,0.83
2,1,percent_save,rank,0.63
2,2,percent_save,rank,0.58
2,3,percent_save,rank,0.0
2,4,percent_save,rank,0.55
2,5,percent_save,rank,0.67
2,6,percent_save,rank,0.73
2,7,percent_save,rank,0.62
2,1,percent_save,rank_save,0.59
2,2,percent_save,rank_save,0.62
2,3,percent_save,rank_save,0.0
2,4,percent_save,rank_save,0.58
2,5,percent_save,rank_save,0.46
2,6,percent_save,rank_save,0.5
2,7,percent_save,rank_save,0.73
2,1,rank,rank_save,0.61
2,2,rank,rank_save,0.59
2,3,rank,rank_save,0.0
2,4,rank,rank_save,0.57
2,5,rank,rank_save,0.65
2,6,rank,rank_save,0.71
2,7,rank,rank_save,0.79
