season,week,rule_A,rule_B,p_elim_diff
11,1,percent,percent_save,0.792
11,2,percent,percent_save,0.77
11,3,percent,percent_save,0.6
11,4,percent,percent_save,0.518
11,5,percent,percent_save,0.662
11,6,percent,percent_save,0.562
11,7,percent,percent_save,0.0
11,8,percent,percent_save,0.66
11,9,percent,percent_save,0.776
11,1,percent,rank,0.818
11,2,percent,rank,0.874
11,3,percent,rank,0.742
11,4,percent,rank,0.644
11,5,percent,rank,0.812
11,6,percent,rank,0.77
11,7,percent,rank,0.0
11,8,percent,rank,0.718
11,9,percent,rank,0.854
11,1,percent,rank_save,0.792
11,2,percent,rank_save,0.784
11,3,percent,rank_save,0.852
11,4,percent,rank_save,0.762
11,5,percent,rank_save,0.766
11,6,percent,rank_save,0.63
11,7,percent,rank_save,0.0
11,8,percent,rank_save,0.602
11,9,percent,rank_save,0.846
11,1,percent_save,rank,0.812
11,2,percent_save,rank,0.826
11,3,percent_save,rank,0.786
11,4,percent_save,rank,0.67
11,5,percent_save,rank,0.81
11,6,percent_save,rank,0.724
11,7,percent_save,rank,0.0
11,8,percent_save,rank,0.612
11,9,percent_save,rank,0.866
11,1,percent_save,rank_save,0.79
11,2,percent_save,rank_save,0.77
11,3,percent_save,rank_save,0.868
11,4,percent_save,rank_save,0.778
11,5,percent_save,rank_save,0.734
11,6,percent_save,rank_save,0.658
11,7,percent_save,rank_save,0.0
11,8,percent_save,rank_save,0.472
11,9,percent_save,rank_save,0.766
11,1,rank,rank_save,0.748
11,2,rank,rank_save,0.8
11,3,rank,rank_save,0.87
11,4,rank,rank_save,0.578
11,5,rank,rank_save,0.67
11,6,rank,rank_save,0.794
11,7,rank,rank_save,0.0
11,8,rank,rank_save,0.626
11,9,rank,rank_save,0.934
