season,week,rule_A,rule_B,p_elim_diff
27,1,percent,percent_save,0.34
27,2,percent,percent_save,0.56
27,3,percent,percent_save,0.64
27,4,percent,percent_save,0.81
27,5,percent,percent_save,0.0
27,6,percent,percent_save,0.59
27,7,percent,percent_save,0.76
27,8,percent,percent_save,0.56
27,1,percent,rank,0.28
27,2,percent,rank,0.57
27,3,percent,rank,0.63
27,4,percent,rank,0.89
27,5,percent,rank,0.0
27,6,percent,rank,0.55
27,7,percent,rank,0.83
27,8,percent,rank,0.65
27,1,percent,rank_save,0.22
27,2,percent,rank_save,0.53
27,3,percent,rank_save,0.83
27,4,percent,rank_save,0.78
27,5,percent,rank_save,0.0
27,6,percent,rank_save,0.56
27,7,percent,rank_save,0.73
27,8,percent,rank_save,0.72
27,1,percent_save,rank,0.3
27,2,percent_save,rank,0.46
27,3,percent_save,rank,0.61
27,4,percent_save,rank,0.84
27,5,percent_save,rank,0.0
27,6,percent_save,rank,0.19
27,7,percent_save,rank,0.77
27,8,percent_save,rank,0.81
27,1,percent_save,rank_save,0.24
27,2,percent_save,rank_save,0.34
27,3,percent_save,rank_save,0.73
27,4,percent_save,rank_save,0.77
27,5,percent_save,rank_save,0.0
27,6,percent_save,rank_save,0.18
27,7,percent_save,rank_save,0.64
27,8,percent_save,rank_save,0.7
27,1,rank,rank_save,0.23
27,2,rank,rank_save,0.45
27,3,rank,rank_save,0.78
27,4,rank,rank_save,0.77
27,5,rank,rank_save,0.0
27,6,rank,rank_save,0.01
27,7,rank,rank_save,0.72
27,8,rank,rank_save,0.77
