season,week,rule_A,rule_B,p_elim_diff
21,1,percent,percent_save,0.0
21,2,percent,percent_save,0.63
21,3,percent,percent_save,0.0
21,4,percent,percent_save,0.69
21,5,percent,percent_save,0.0
21,6,percent,percent_save,0.61
21,7,percent,percent_save,0.85
21,8,percent,percent_save,0.59
21,9,percent,percent_save,0.82
21,10,percent,percent_save,0.0
21,1,percent,rank,0.0
21,2,percent,rank,0.74
21,3,percent,rank,0.0
21,4,percent,rank,0.72
21,5,percent,rank,0.0
21,6,percent,rank,0.57
21,7,percent,rank,0.92
21,8,percent,rank,0.66
21,9,percent,rank,0.92
21,10,percent,rank,0.0
21,1,percent,rank_save,0.0
21,2,percent,rank_save,0.68
21,3,percent,rank_save,0.0
21,4,percent,rank_save,0.64
21,5,percent,rank_save,0.0
21,6,percent,rank_save,0.55
21,7,percent,rank_save,0.91
21,8,percent,rank_save,0.65
21,9,percent,rank_save,0.88
21,10,percent,rank_save,0.0
21,1,percent_save,rank,0.0
21,2,percent_save,rank,0.7
21,3,percent_save,rank,0.0
21,4,percent_save,rank,0.74
21,5,percent_save,rank,0.0
21,6,percent_save,rank,0.44
21,7,percent_save,rank,0.8
21,8,percent_save,rank,0.38
21,9,percent_save,rank,0.89
21,10,percent_save,rank,0.0
21,1,percent_save,rank_save,0.0
21,2,percent_save,rank_save,0.59
21,3,percent_save,rank_save,0.0
21,4,percent_save,rank_save,0.58
21,5,percent_save,rank_save,0.0
21,6,percent_save,rank_save,0.36
21,7,percent_save,rank_save,0.84
21,8,percent_save,rank_save,0.3
21,9,percent_save,rank_save,0.89
21,10,percent_save,rank_save,0.0
21,1,rank,rank_save,0.0
21,2,rank,rank_save,0.69
21,3,rank,rank_save,0.0
21,4,rank,rank_save,0.72
21,5,rank,rank_save,0.0
21,6,rank,rank_save,0.49
21,7,rank,rank_save,0.76
21,8,rank,rank_save,0.15
21,9,rank,rank_save,0.7
21,10,rank,rank_save,0.0
